image_id,image_path,mask_image_path,label,num_elements_of_label_category
72813,000000072813.jpg,000000072813_mask.pkl,dog,1
366611,000000366611.jpg,000000366611_mask.pkl,dog,1
159458,000000159458.jpg,000000159458_mask.pkl,dog,1
205834,000000205834.jpg,000000205834_mask.pkl,dog,1
446522,000000446522.jpg,000000446522_mask.pkl,dog,1
125405,000000125405.jpg,000000125405_mask.pkl,dog,2
236166,000000236166.jpg,000000236166_mask.pkl,dog,1
236784,000000236784.jpg,000000236784_mask.pkl,dog,2
486479,000000486479.jpg,000000486479_mask.pkl,dog,1
421455,000000421455.jpg,000000421455_mask.pkl,dog,1
464522,000000464522.jpg,000000464522_mask.pkl,dog,2
395801,000000395801.jpg,000000395801_mask.pkl,dog,1
131273,000000131273.jpg,000000131273_mask.pkl,dog,1
472375,000000472375.jpg,000000472375_mask.pkl,dog,1
372819,000000372819.jpg,000000372819_mask.pkl,dog,4
253386,000000253386.jpg,000000253386_mask.pkl,dog,1
338624,000000338624.jpg,000000338624_mask.pkl,dog,1
138492,000000138492.jpg,000000138492_mask.pkl,dog,1
263463,000000263463.jpg,000000263463_mask.pkl,dog,1
49269,000000049269.jpg,000000049269_mask.pkl,dog,1
209613,000000209613.jpg,000000209613_mask.pkl,dog,3
415990,000000415990.jpg,000000415990_mask.pkl,dog,1
190140,000000190140.jpg,000000190140_mask.pkl,dog,1
463522,000000463522.jpg,000000463522_mask.pkl,dog,1
139099,000000139099.jpg,000000139099_mask.pkl,dog,1
305343,000000305343.jpg,000000305343_mask.pkl,dog,1
407083,000000407083.jpg,000000407083_mask.pkl,dog,1
318908,000000318908.jpg,000000318908_mask.pkl,dog,1
419974,000000419974.jpg,000000419974_mask.pkl,dog,1
60835,000000060835.jpg,000000060835_mask.pkl,dog,1
361571,000000361571.jpg,000000361571_mask.pkl,dog,1
385997,000000385997.jpg,000000385997_mask.pkl,dog,1
61471,000000061471.jpg,000000061471_mask.pkl,dog,1
170893,000000170893.jpg,000000170893_mask.pkl,dog,1
78565,000000078565.jpg,000000078565_mask.pkl,dog,1
143961,000000143961.jpg,000000143961_mask.pkl,dog,2
225670,000000225670.jpg,000000225670_mask.pkl,dog,1
64868,000000064868.jpg,000000064868_mask.pkl,dog,1
78823,000000078823.jpg,000000078823_mask.pkl,dog,1
432553,000000432553.jpg,000000432553_mask.pkl,dog,2
76417,000000076417.jpg,000000076417_mask.pkl,dog,1
79229,000000079229.jpg,000000079229_mask.pkl,dog,1
236592,000000236592.jpg,000000236592_mask.pkl,dog,1
369541,000000369541.jpg,000000369541_mask.pkl,dog,1
237864,000000237864.jpg,000000237864_mask.pkl,dog,1
273232,000000273232.jpg,000000273232_mask.pkl,dog,1
292330,000000292330.jpg,000000292330_mask.pkl,dog,1
17029,000000017029.jpg,000000017029_mask.pkl,dog,1
90003,000000090003.jpg,000000090003_mask.pkl,dog,2
474164,000000474164.jpg,000000474164_mask.pkl,dog,1
139872,000000139872.jpg,000000139872_mask.pkl,dog,1
89880,000000089880.jpg,000000089880_mask.pkl,dog,2
82807,000000082807.jpg,000000082807_mask.pkl,dog,1
371749,000000371749.jpg,000000371749_mask.pkl,dog,1
371699,000000371699.jpg,000000371699_mask.pkl,dog,1
67213,000000067213.jpg,000000067213_mask.pkl,dog,1
30494,000000030494.jpg,000000030494_mask.pkl,dog,1
367082,000000367082.jpg,000000367082_mask.pkl,dog,1
309938,000000309938.jpg,000000309938_mask.pkl,dog,1
283412,000000283412.jpg,000000283412_mask.pkl,dog,1
221693,000000221693.jpg,000000221693_mask.pkl,dog,1
182805,000000182805.jpg,000000182805_mask.pkl,dog,2
297830,000000297830.jpg,000000297830_mask.pkl,dog,1
366884,000000366884.jpg,000000366884_mask.pkl,dog,2
224200,000000224200.jpg,000000224200_mask.pkl,dog,1
81766,000000081766.jpg,000000081766_mask.pkl,dog,3
261161,000000261161.jpg,000000261161_mask.pkl,dog,1
181969,000000181969.jpg,000000181969_mask.pkl,dog,1
151962,000000151962.jpg,000000151962_mask.pkl,dog,1
262938,000000262938.jpg,000000262938_mask.pkl,dog,4
365207,000000365207.jpg,000000365207_mask.pkl,dog,1
193162,000000193162.jpg,000000193162_mask.pkl,dog,2
251572,000000251572.jpg,000000251572_mask.pkl,dog,1
117525,000000117525.jpg,000000117525_mask.pkl,dog,1
149568,000000149568.jpg,000000149568_mask.pkl,dog,2
367195,000000367195.jpg,000000367195_mask.pkl,dog,1
269113,000000269113.jpg,000000269113_mask.pkl,dog,4
65485,000000065485.jpg,000000065485_mask.pkl,dog,1
171611,000000171611.jpg,000000171611_mask.pkl,dog,1
329447,000000329447.jpg,000000329447_mask.pkl,dog,1
355240,000000355240.jpg,000000355240_mask.pkl,dog,2
424162,000000424162.jpg,000000424162_mask.pkl,dog,1
246454,000000246454.jpg,000000246454_mask.pkl,dog,2
161609,000000161609.jpg,000000161609_mask.pkl,dog,1
222317,000000222317.jpg,000000222317_mask.pkl,dog,1
338901,000000338901.jpg,000000338901_mask.pkl,dog,1
273642,000000273642.jpg,000000273642_mask.pkl,dog,1
170278,000000170278.jpg,000000170278_mask.pkl,dog,1
193674,000000193674.jpg,000000193674_mask.pkl,dog,1
452891,000000452891.jpg,000000452891_mask.pkl,dog,1
357459,000000357459.jpg,000000357459_mask.pkl,dog,1
61108,000000061108.jpg,000000061108_mask.pkl,dog,1
129756,000000129756.jpg,000000129756_mask.pkl,dog,2
